ID,TIPO_PRENDA,TALLA,COLOR,CANTIDAD_DISPONIBLE,PRECIO_50_U,PRECIO_100_U,PRECIO_200_U,DISPONIBLE,CATEGORÍA,DESCRIPCIÓN
57,Camiseta,S,Rojo,37,1049,573,356,Sí,Casual,Diseño moderno y elegante.
58,Camisa,M,Rojo,151,655,730,562,No,Casual,Diseño moderno y elegante.
59,Chaqueta,XL,Gris,260,1052,368,452,Sí,Deportivo,Ideal para uso diario.
60,Pantalón,M,Verde,405,960,1164,360,Sí,Deportivo,Perfecta para actividades al aire libre.
61,Chaqueta,XXL,Negro,297,1055,570,1021,Sí,Formal,Material de alta calidad.
62,Chaqueta,S,Verde,473,1180,769,482,Sí,Formal,Perfecta para actividades al aire libre.
63,Pantalón,L,Rojo,11,708,945,654,No,Casual,Prenda cómoda y ligera.
64,Falda,M,Gris,374,874,993,766,Sí,Deportivo,Material de alta calidad.
65,Falda,L,Verde,137,685,386,1018,No,Casual,Ideal para uso diario.
66,Camisa,XL,Azul,441,1151,422,621,Sí,Deportivo,Perfecta para actividades al aire libre.
67,Pantalón,XL,Azul,17,1331,1225,704,No,Deportivo,Material de alta calidad.
68,Sudadera,S,Blanco,479,571,1081,1170,No,Deportivo,Diseño moderno y elegante.
69,Camisa,L,Negro,486,835,1207,911,Sí,Deportivo,Ideal para uso diario.
70,Camiseta,XL,Rojo,364,1225,1248,358,No,Casual,Perfecta para actividades al aire libre.
71,Chaqueta,L,Blanco,320,1070,1281,1014,Sí,Casual,Ideal para uso diario.
72,Camiseta,L,Amarillo,148,1356,974,699,Sí,Casual,Diseño moderno y elegante.
73,Falda,L,Gris,252,1283,1190,433,Sí,Deportivo,Material de alta calidad.
74,Pantalón,XL,Rojo,28,913,1058,334,No,Deportivo,Perfecta para actividades al aire libre.
75,Chaqueta,S,Verde,136,507,521,1207,Sí,Formal,Ideal para uso diario.
76,Chaqueta,L,Azul,18,407,641,1259,Sí,Casual,Perfecta para actividades al aire libre.
77,Sudadera,XL,Gris,453,516,520,951,No,Formal,Diseño moderno y elegante.
78,Camiseta,M,Gris,360,457,959,1148,Sí,Formal,Prenda cómoda y ligera.
79,Camiseta,L,Blanco,103,445,1191,812,Sí,Deportivo,Ideal para uso diario.
80,Falda,S,Verde,200,680,965,875,No,Deportivo,Prenda cómoda y ligera.
81,Sudadera,M,Negro,319,1008,1071,1212,Sí,Casual,Diseño moderno y elegante.
82,Pantalón,M,Rojo,337,720,1389,431,No,Formal,Diseño moderno y elegante.
83,Sudadera,XXL,Azul,275,801,780,1221,No,Casual,Material de alta calidad.
84,Sudadera,XXL,Rojo,218,1167,674,1263,Sí,Casual,Perfecta para actividades al aire libre.
85,Camisa,M,Rojo,19,527,822,791,Sí,Casual,Material de alta calidad.
86,Pantalón,S,Gris,99,753,731,347,No,Casual,Perfecta para actividades al aire libre.
87,Falda,L,Verde,317,1390,971,1123,Sí,Casual,Ideal para uso diario.
88,Camisa,M,Azul,253,1438,1342,1009,Sí,Casual,Material de alta calidad.
89,Camiseta,L,Verde,449,778,1177,977,Sí,Formal,Perfecta para actividades al aire libre.
90,Camiseta,M,Verde,350,404,1221,1012,Sí,Formal,Perfecta para actividades al aire libre.
91,Chaqueta,XXL,Amarillo,98,463,580,1271,No,Deportivo,Diseño moderno y elegante.
92,Camiseta,S,Gris,226,987,490,904,Sí,Casual,Ideal para uso diario.
93,Camiseta,L,Blanco,100,599,1336,1246,Sí,Deportivo,Material de alta calidad.
94,Pantalón,XL,Gris,249,756,1288,425,Sí,Casual,Diseño moderno y elegante.
95,Camiseta,XL,Negro,245,541,1095,681,Sí,Formal,Perfecta para actividades al aire libre.
96,Falda,L,Negro,480,975,457,798,Sí,Deportivo,Prenda cómoda y ligera.
97,Falda,XXL,Azul,51,973,785,628,Sí,Formal,Perfecta para actividades al aire libre.
98,Sudadera,XXL,Azul,114,1491,529,476,Sí,Casual,Perfecta para actividades al aire libre.
99,Camiseta,S,Verde,391,1067,372,366,Sí,Formal,Ideal para uso diario.
100,Chaqueta,XL,Rojo,347,1117,565,358,Sí,Deportivo,Diseño moderno y elegante.
